name_ar,counting_note,avg_unit_cost,supplier_name,current_stock,material_category,base_unit
فلامينجو رامون مونيجال,100 جرام,21.6783,الغبرة,87.0,perfume_oil,g
مانسيرا روز فانيل,100 جرام,11.8735,الغبرة,18.0,perfume_oil,g
الوسام الرصاصي,100 جرام,17.3426,الغبرة,69.0,perfume_oil,g
بلاك كود ارماني,100 جرام,10.48,الغبرة,99.0,perfume_oil,g
ميراكل جاردن,100 جرام,20.19,الغبرة,95.0,perfume_oil,g
بينك شيفون,100 جرام,7.4,أهل الثقة,100.0,perfume_oil,g
انفكتوس فيكتوري الكسير,100/250/50 جرام,9.67,أهل الثقة,385.0,perfume_oil,g
رالف لورين,100/50 جرام,7.14,أهل الثقة,55.0,perfume_oil,g
جادور,100 جرام,12.4,أهل الثقة,100.0,perfume_oil,g
انا والشوق,100 جرام,7.01,أهل الثقة,110.0,perfume_oil,g
عود مضاوي العربية للعود,100 جرام,16.8,أهل الثقة,165.0,perfume_oil,g
وصال,100 جرام,13.73,أهل الثقة,130.0,perfume_oil,g
بلاك اكس اس رجالي باكوربان,100 جرام,8.4,أهل الثقة,100.0,perfume_oil,g
تراثي بلو افنان,100 جرام,17.5,الغبرة,63.0,perfume_oil,g
افتر نون سويم,100 جرام,17.5,الغبرة,99.0,perfume_oil,g
ميدنايت بريتني سبيرز,100 جرام,10.13,الغبرة,70.0,perfume_oil,g
مون بلان ليجيند,100 جرام,17.5,الغبرة,92.0,perfume_oil,g
اسكادا مغنتزيم,100 جرام,16.2,الغبرة,92.0,perfume_oil,g
ايماجينيشن لوي فيتون,100 جرام,27.0,الغبرة,28.0,perfume_oil,g
بربري هير,100 جرام,16.2,الغبرة,52.0,perfume_oil,g
لافي بيل لانكوم,100 جرام,17.5,الغبرة,100.0,perfume_oil,g
لومال الكسير,100 جرام,17.5,الغبرة,83.0,perfume_oil,g
اربيان تونكا مونتال,100 جرام,29.7,الغبرة,80.0,perfume_oil,g
كريد سيلفر ماونتن,100 جرام,20.25,الغبرة,86.0,perfume_oil,g
ازارو وانتد,100 جرام,17.5,الغبرة,81.0,perfume_oil,g
لوف اذ هفنلي,100 جرام,11.5,الغبرة,75.0,perfume_oil,g
ايربابورا زيرجوف,150 جرام,18.0,الغبرة,122.0,perfume_oil,g
الثائر دو مارلي,100 جرام,16.2,الغبرة,100.0,perfume_oil,g
بلاك اوبيوم اف سان لوران,100 جرام,12.15,الغبرة,97.0,perfume_oil,g
سوسبيرو اكسنتو,100 جرام,25.26,الغبرة,60.0,perfume_oil,g
اسكادا تاج سانسيت,100 جرام,15.53,الغبرة,96.0,perfume_oil,g
في سكستين باور,100 جرام,18.9,الغبرة,42.0,perfume_oil,g
سانتال شام,100 جرام,18.9,الغبرة,100.0,perfume_oil,g
مسك توت,50 جرام,13.5,أهل الثقة,29.0,perfume_oil,g
فواحة سيارات ماركات,15 قطعة,370.0,أهل الثقة,8.0,packaging,pcs
قلم تستر شفاف 10 مل,12+24 قطعة,11.75,أهل الثقة,24.0,packaging,pcs
كحول ايثانول,1000 مل,0.36,أهل الثقة,1000.0,alcohol,mL
زجاجة يم يم زهر مع صندوق,قطعتان,880.0,أهل الثقة,1.0,packaging,pcs
زجاجة يم يم ازرق صندوق فتح,قطعة واحدة,810.0,أهل الثقة,1.0,packaging,pcs
زجاجة كريستال دهن 3 مل,4 قطع,135.0,أهل الثقة,3.0,packaging,pcs
زجاجة زارا نسائي مربعة 30 مل,6 قطع,54.0,أهل الثقة,4.0,packaging,pcs
غبار الذهب,50 جرام,6.4,أهل الثقة,50.0,perfume_oil,g
فنتازيا بريتني سبيرز,50 جرام,6.0,أهل الثقة,50.0,perfume_oil,g
الترميل,100 جرام,9.6,أهل الثقة,80.0,perfume_oil,g
جود جيرل,100 جرام,9.3,أهل الثقة,118.0,perfume_oil,g
لاكوست وايت,50 جرام,8.91,أهل الثقة,50.0,perfume_oil,g
لاكوست بلاك,50 جرام,8.91,أهل الثقة,50.0,perfume_oil,g
سكاندل باي نايت,100 جرام,11.88,أهل الثقة,75.0,perfume_oil,g
بلو فور مان,50 جرام,8.91,أهل الثقة,50.0,perfume_oil,g
بلو دو شانيل,50 جرام,8.91,أهل الثقة,44.0,perfume_oil,g
تشامبيون دافيدوف,50 جرام,7.3,أهل الثقة,42.0,perfume_oil,g
كلمات العربية للعود,50 جرام,10.13,أهل الثقة,37.0,perfume_oil,g
سيلفر سنت,50 جرام,7.02,أهل الثقة,50.0,perfume_oil,g
سبايس بومب اكستريم,50 جرام,10.53,أهل الثقة,50.0,perfume_oil,g
اكوا دي جيو,50 جرام,15.12,أهل الثقة,50.0,perfume_oil,g
فيرزاتشي ايروس,100 جرام,10.4,أهل الثقة,65.0,perfume_oil,g
212 في اي بي رجالي,100/50 جرام,11.5,أهل الثقة,70.0,perfume_oil,g
212 في اي بي نسائي,100 جرام,7.0,أهل الثقة,99.0,perfume_oil,g
212 سكسي رجالي,100 جرام,16.0,أهل الثقة,100.0,perfume_oil,g
212 سكسي نسائي,100 جرام,9.8,أهل الثقة,90.0,perfume_oil,g
نيرسيسو رودريغيز,100 جرام,12.42,أهل الثقة,150.0,perfume_oil,g
اولمبيا,100 جرام,9.0,أهل الثقة,63.0,perfume_oil,g
زجاجة قلم ميل حمرا 5 مل,12 قطعة,40.0,أهل الثقة,8.0,packaging,pcs
زجاجة تيستر شفاف 5 مل,84 قطعة,9.0,أهل الثقة,43.0,packaging,pcs
زجاجة ليزر 15 مل,10 قطع,79.0,أهل الثقة,6.0,packaging,pcs
زجاجة ليزر مذهبة 50 مل,4 قطع,3.0,أهل الثقة,3.0,packaging,pcs
زجاجة ليزر مذهبة 30 مل,4 قطع,1.0,أهل الثقة,1.0,packaging,pcs
باريس هيلتون,100 جرام,8.4,أهل الثقة,100.0,perfume_oil,g
خمرة لطافة,100 جرام,15.55,أهل الثقة,68.0,perfume_oil,g
فيري سكسي ناو,100 جرام,13.1,أهل الثقة,96.0,perfume_oil,g
ليدي ميليون,100 جرام,10.15,أهل الثقة,100.0,perfume_oil,g
انفكتوس فيكتوري,100 جرام,11.5,أهل الثقة,100.0,perfume_oil,g
سوفاج ديور,100 جرام,9.5,أهل الثقة,100.0,perfume_oil,g
امبريال فالي قصة,100 جرام,15.55,أهل الثقة,77.0,perfume_oil,g
خمرة قهوة,100 جرام,13.2,أهل الثقة,83.0,perfume_oil,g
بلاك اوركيد توم فورد,100 جرام,9.72,أهل الثقة,100.0,perfume_oil,g
امبر ليذر توم فورد,100 جرام,20.0,أهل الثقة,84.0,perfume_oil,g
عود دبلوماسي,100 جرام,11.2,أهل الثقة,100.0,perfume_oil,g
هودسون فالي قصة,100 جرام,13.1,أهل الثقة,69.0,perfume_oil,g
بورن ان روما انتنس,50 جرام,17.0,أهل الثقة,50.0,perfume_oil,g
مسك باودر زيت,50 جرام,6.5,أهل الثقة,50.0,perfume_oil,g
مسك طهارة,150 جرام,9.2,أهل الثقة,88.0,perfume_oil,g
مسك كرز,50 جرام,8.9,أهل الثقة,25.0,perfume_oil,g
